"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_asamblea","descripcion_tipo_asamblea","numero_asamblea","fecha_realizacion","fecha_presentacion"
"1935870","100","ASOCIACION CIVIL","MEDICINA DEL ESTILO DE VIDA ASOCIACION CIVIL (MEVAC)","O","Ordinaria","9495969","20220916","20221221"
"1935870","100","ASOCIACION CIVIL","MEDICINA DEL ESTILO DE VIDA ASOCIACION CIVIL (MEVAC)","O","Ordinaria","9189434","","20210111"
"1935901","110","FUNDACION","TGS","O","Ordinaria","9232016","20210326","20210618"
"1935901","110","FUNDACION","TGS","O","Ordinaria","9232011","20210326","20210618"
"1935901","110","FUNDACION","TGS","O","Ordinaria","9232014","20210326","20210618"
"1935902","100","ASOCIACION CIVIL","GRUPO SILVETSTRE, POR LA CONSERVACION DE LA BIODIVERSIDAD","O","Ordinaria","9455806","20220701","20220923"
"1935902","100","ASOCIACION CIVIL","GRUPO SILVETSTRE, POR LA CONSERVACION DE LA BIODIVERSIDAD","O","Ordinaria","9455802","20220701","20220923"
"1935915","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CONCEPTO SIMPLE","O","Ordinaria","","20220228","20220726"
"1935915","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CONCEPTO SIMPLE","O","Ordinaria","","20220322","20220729"
"1935915","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CONCEPTO SIMPLE","O","Ordinaria","","20220322","20220722"
"1935919","50","SOC. ANONIMA","SCALONE CARREÑO IÑIGUEZ & ASOCIADOS","O","Ordinaria","","20200224","20210624"
"1935919","50","SOC. ANONIMA","SCALONE CARREÑO IÑIGUEZ & ASOCIADOS","O","Ordinaria","","20200224","20210624"
"1935924","50","SOC. ANONIMA","ESTUDIO FURLONE","O","Ordinaria","","20191206","20220113"
"1935924","50","SOC. ANONIMA","ESTUDIO FURLONE","O","Ordinaria","","20201030","20220128"
"1935939","100","ASOCIACION CIVIL","PROYECTO SIGNOS ASOCIACION CIVIL","O","Ordinaria","9426157","20220228","20220727"
"1935939","100","ASOCIACION CIVIL","PROYECTO SIGNOS ASOCIACION CIVIL","O","Ordinaria","9211931","","20210421"
"1935939","100","ASOCIACION CIVIL","PROYECTO SIGNOS ASOCIACION CIVIL","O","Ordinaria","9143065","","20200305"
"1935947","50","SOC. ANONIMA","ENERLAND GROUP","O","Ordinaria","","20190418","20220125"
"1935947","50","SOC. ANONIMA","ENERLAND GROUP","O","Ordinaria","","20200319","20220125"
"1935947","50","SOC. ANONIMA","ENERLAND GROUP","O","Ordinaria","","20210616","20211014"
"1936005","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","LILABY","O","Ordinaria","","20210906","20210922"
"1936079","110","FUNDACION","INTRAMUROS","O","Ordinaria","9278668","20210820","20210922"
"1936145","50","SOC. ANONIMA","BFB SOLUCIONES","O","Ordinaria","","20200406","20200901"
"1936145","50","SOC. ANONIMA","BFB SOLUCIONES","O","Ordinaria","","20210414","20210820"
"1936145","50","SOC. ANONIMA","BFB SOLUCIONES","O","Ordinaria","","20220414","20220530"
"1936152","50","SOC. ANONIMA","PORTOFINO ARGENTINA","O","Ordinaria","","20210701","20220715"
"1936152","50","SOC. ANONIMA","PORTOFINO ARGENTINA","O","Ordinaria","","20210701","20220715"
"1936152","50","SOC. ANONIMA","PORTOFINO ARGENTINA","O","Ordinaria","","20210701","20220715"
"1936169","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","IBERAPA ARGENTINA","O","Ordinaria","9202740","20200515","20210318"
"1936169","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","IBERAPA ARGENTINA","O","Ordinaria","9471803","20210630","20221026"
"1936174","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CASPR BIOTECH","O","Ordinaria","9204246","20210211","20210318"
"1936174","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CASPR BIOTECH","M","Mixta","9485737","20210624","20221123"
"1936174","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CASPR BIOTECH","O","Ordinaria","9241851","20210624","20210730"
"1936174","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CASPR BIOTECH","O","Ordinaria","9350306","20220217","20220225"
"1936248","110","FUNDACION","OTORRINOLARINGOLOGICA ARGENTINA (FORLA)","O","Ordinaria","9360870","20201023","20220322"
"1936248","110","FUNDACION","OTORRINOLARINGOLOGICA ARGENTINA (FORLA)","O","Ordinaria","9360869","20211022","20220322"
"1936249","50","SOC. ANONIMA","COMERCIALIZADORA SOTAVENTO CONO SUR","O","Ordinaria","","20210503","20210614"
"1936249","50","SOC. ANONIMA","COMERCIALIZADORA SOTAVENTO CONO SUR","O","Ordinaria","","20210503","20210614"
"1936249","50","SOC. ANONIMA","COMERCIALIZADORA SOTAVENTO CONO SUR","O","Ordinaria","","20210503","20210614"
"1936259","50","SOC. ANONIMA","BELL SUR","O","Ordinaria","","20200316","20220408"
"1936259","50","SOC. ANONIMA","BELL SUR","O","Ordinaria","","20210301","20220408"
"1936259","50","SOC. ANONIMA","BELL SUR","O","Ordinaria","","20220301","20220408"
"1936325","50","SOC. ANONIMA","FAST & FRESH","O","Ordinaria","","20210430","20220907"
"1936399","50","SOC. ANONIMA","MODULO CREATIVO","O","Ordinaria","","20191220","20210518"
"1936399","50","SOC. ANONIMA","MODULO CREATIVO","O","Ordinaria","","20201223","20220315"
"1936408","50","SOC. ANONIMA","SALUTE MISSION CRITICAL","O","Ordinaria","","20211026","20220707"
"1936408","50","SOC. ANONIMA","SALUTE MISSION CRITICAL","O","Ordinaria","","20211109","20220707"
"1936418","50","SOC. ANONIMA","DO¥A REBECA","O","Ordinaria","","20200228","20220225"
"1936418","50","SOC. ANONIMA","DO¥A REBECA","O","Ordinaria","","20210215","20220225"
"1936418","50","SOC. ANONIMA","DO¥A REBECA","O","Ordinaria","","20220217","20220722"
"1936431","50","SOC. ANONIMA","C Y C MARKETING Y EVENTOS","O","Ordinaria","","20200317","20201223"
"1936431","50","SOC. ANONIMA","C Y C MARKETING Y EVENTOS","O","Ordinaria","","20210428","20211206"
"1936431","50","SOC. ANONIMA","C Y C MARKETING Y EVENTOS","O","Ordinaria","","20220429","20221028"
"1936444","50","SOC. ANONIMA","ESTABLECIMIENTO EL RECADO","O","Ordinaria","","20191108","20201223"
"1936444","50","SOC. ANONIMA","ESTABLECIMIENTO EL RECADO","O","Ordinaria","","20201109","20210428"
"1936444","50","SOC. ANONIMA","ESTABLECIMIENTO EL RECADO","O","Ordinaria","","20211109","20220511"
"1936445","50","SOC. ANONIMA","ESTABLECIMIENTO LA MANUELITA","O","Ordinaria","","20191111","20210112"
"1936445","50","SOC. ANONIMA","ESTABLECIMIENTO LA MANUELITA","O","Ordinaria","","20201102","20210623"
"1936445","50","SOC. ANONIMA","ESTABLECIMIENTO LA MANUELITA","O","Ordinaria","","20211111","20220412"
"1936446","50","SOC. ANONIMA","EL IKIGAI","O","Ordinaria","","20191108","20201223"
"1936446","50","SOC. ANONIMA","EL IKIGAI","O","Ordinaria","","20201109","20210428"
"1936446","50","SOC. ANONIMA","EL IKIGAI","O","Ordinaria","","20211111","20220511"
"1936447","50","SOC. ANONIMA","LA MAGNOLIA DEL MAYU","O","Ordinaria","","20191112","20210112"
"1936447","50","SOC. ANONIMA","LA MAGNOLIA DEL MAYU","O","Ordinaria","","20201112","20210623"
"1936447","50","SOC. ANONIMA","LA MAGNOLIA DEL MAYU","O","Ordinaria","","20211103","20220412"
"1936502","50","SOC. ANONIMA","M.COOK","O","Ordinaria","","20200422","20210201"
"1936522","50","SOC. ANONIMA","BERAZATEGUI PARKING","O","Ordinaria","","20191103","20201222"
"1936559","110","FUNDACION","ALEBRIJES ARTE CON TODOS","O","Ordinaria","9318875","20200203","20211203"
"1936559","110","FUNDACION","ALEBRIJES ARTE CON TODOS","O","Ordinaria","9318879","20210208","20211203"
"1936559","110","FUNDACION","ALEBRIJES ARTE CON TODOS","O","Ordinaria","9408180","","20220628"
"1936561","50","SOC. ANONIMA","H INTERMEDIA","O","Ordinaria","","20191227","20200130"
"1936593","50","SOC. ANONIMA","LATUS VIEW","E","Extraordinaria","","20200209","20210902"
"1936593","50","SOC. ANONIMA","LATUS VIEW","E","Extraordinaria","","20201013","20210902"
"1936594","100","ASOCIACION CIVIL","TE AMO PERU","O","Ordinaria","9381444","20210903","20220504"
"1936594","100","ASOCIACION CIVIL","TE AMO PERU","O","Ordinaria","9258771","20210903","20210826"
"1936600","50","SOC. ANONIMA","EL CUARTEL PROPIEDADES","O","Ordinaria","","20201209","20221005"
"1936600","50","SOC. ANONIMA","EL CUARTEL PROPIEDADES","O","Ordinaria","","20210831","20220104"
"1936604","50","SOC. ANONIMA","FOURA","O","Ordinaria","","20200106","20200129"
"1936604","50","SOC. ANONIMA","FOURA","O","Ordinaria","","20201118","20210507"
"1936604","50","SOC. ANONIMA","FOURA","O","Ordinaria","","20211209","20220718"
"1936609","50","SOC. ANONIMA","SUROT","O","Ordinaria","","20200508","20210224"
"1936609","50","SOC. ANONIMA","SUROT","O","Ordinaria","","20210504","20210728"
"1936609","50","SOC. ANONIMA","SUROT","O","Ordinaria","","20220425","20221028"
"1936623","50","SOC. ANONIMA","MERCEDES-BENZ SERVICIOS","O","Ordinaria","9475324","20220524","20221101"
"1936623","50","SOC. ANONIMA","MERCEDES-BENZ SERVICIOS","M","Mixta","9474764","20220524","20221101"
"1936623","50","SOC. ANONIMA","MERCEDES-BENZ SERVICIOS","O","Ordinaria","9472245","20220524","20221027"
"1936628","50","SOC. ANONIMA","LIMPIDO","O","Ordinaria","","20211213","20230119"
"1936645","50","SOC. ANONIMA","DACAS GLOBAL","O","Ordinaria","","20200119","20230124"
"1936645","50","SOC. ANONIMA","DACAS GLOBAL","O","Ordinaria","","20210430","20230124"
"1936645","50","SOC. ANONIMA","DACAS GLOBAL","O","Ordinaria","","20220503","20230124"
"1936657","100","ASOCIACION CIVIL","EL JOAQUIN TV USINA AUDIOVISUAL DOCENTE","O","Ordinaria","9185572","20200316","20201230"
"1936687","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CELLTRION HEALTHCARE ARGENTINA","O","Ordinaria","9203189","20200212","20210312"
"1936689","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","LIMONEIRA ARGENTINA","O","Ordinaria","9384773","20200305","20220509"
"1936689","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","LIMONEIRA ARGENTINA","O","Ordinaria","9384769","20210318","20220509"
"1936708","50","SOC. ANONIMA","KCR PACHECO","O","Ordinaria","","20200702","20210323"
"1936708","50","SOC. ANONIMA","KCR PACHECO","O","Ordinaria","","20210517","20220303"
"1936710","50","SOC. ANONIMA","KCR ALCORTA","O","Ordinaria","9168968","20200702","20201028"
"1936710","50","SOC. ANONIMA","KCR ALCORTA","O","Ordinaria","9218213","20210517","20210505"
"1936710","50","SOC. ANONIMA","KCR ALCORTA","O","Ordinaria","9445606","20220511","20220907"
"1936726","50","SOC. ANONIMA","AGROPECUARIA LA ADRIANA","O","Ordinaria","","20190805","20191106"
"1936726","50","SOC. ANONIMA","AGROPECUARIA LA ADRIANA","O","Ordinaria","","20200720","20201014"
"1936726","50","SOC. ANONIMA","AGROPECUARIA LA ADRIANA","O","Ordinaria","","20210720","20211022"
"1936726","50","SOC. ANONIMA","AGROPECUARIA LA ADRIANA","O","Ordinaria","","20220715","20221130"
"1936737","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","EMERBEN","O","Ordinaria","","20210217","20220816"
"1936737","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","EMERBEN","O","Ordinaria","","20220128","20220816"
"1936797","50","SOC. ANONIMA","AFFINITAS ARGENTINA","O","Ordinaria","","20200318","20211012"
"1936797","50","SOC. ANONIMA","AFFINITAS ARGENTINA","O","Ordinaria","","20210430","20211012"
"1936862","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CP LOS OLIVOS","O","Ordinaria","9167164","20200519","20201028"
"1936864","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CP MANQUE","O","Ordinaria","9167166","20200519","20201028"
"1936943","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","IMPACT HUB BUENOS AIRES","O","Ordinaria","","20210322","20211227"
"1936943","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","IMPACT HUB BUENOS AIRES","O","Ordinaria","","20220302","20230130"
"1936982","50","SOC. ANONIMA","LEGADOS","O","Ordinaria","","20200914","20201113"
"1936982","50","SOC. ANONIMA","LEGADOS","O","Ordinaria","","20200914","20201113"
"1936982","50","SOC. ANONIMA","LEGADOS","O","Ordinaria","","20210825","20211102"
"1936986","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CASPOSO ENERGIAS RENOVABLES","O","Ordinaria","9298694","20190619","20211101"
"1936986","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CASPOSO ENERGIAS RENOVABLES","O","Ordinaria","9318893","20200210","20211201"
"1936986","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CASPOSO ENERGIAS RENOVABLES","O","Ordinaria","9318887","20210607","20211201"
"1936986","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CASPOSO ENERGIAS RENOVABLES","M","Mixta","9501494","20220706","20230102"
"1936997","50","SOC. ANONIMA","EL PARUCO","O","Ordinaria","","20220520","20230206"
"1937022","50","SOC. ANONIMA","LUZ DEL RIO","O","Ordinaria","9192465","20200529","20210125"
"1937022","50","SOC. ANONIMA","LUZ DEL RIO","O","Ordinaria","9283205","20210331","20210929"
