"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","fecha_balance","fecha_presentacion","capital_informado"
"1933079","50","SOC. ANONIMA","NRG ARGENTINA","20181231","20210909","100000,00"
"1933110","100","ASOCIACION CIVIL","CENTRO DOCUMENTAL Y BIBLIOTECA PINIE KATZ","20210331","20221109","0,00"
"1933110","100","ASOCIACION CIVIL","CENTRO DOCUMENTAL Y BIBLIOTECA PINIE KATZ","20200331","20221109","0,00"
"1933110","100","ASOCIACION CIVIL","CENTRO DOCUMENTAL Y BIBLIOTECA PINIE KATZ","20190331","20200107","0,00"
"1933112","50","SOC. ANONIMA","PLAZA INDUSTRIAL PILAR","20200331","20221125","133385,00"
"1933115","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","VLG","20211231","20220325","19172000,00"
"1933115","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","VLG","20201231","20210419","19172000000,00"
"1933115","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","VLG","20191231","20200630","19172000000,00"
"1933115","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","VLG","20181231","20190409","19172000000,00"
"1933133","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","SANDFOX","20201231","20220725","8000000,00"
"1933249","100","ASOCIACION CIVIL","DE TRABAJADORES DEL TANGO DANZA","20191231","20210812","0,00"
"1933249","100","ASOCIACION CIVIL","DE TRABAJADORES DEL TANGO DANZA","20201231","20210812","0,00"
"1933253","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ARGKYNETEC","20201031","20221221","35666,00"
"1933253","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ARGKYNETEC","20181031","20221221","21400,00"
"1933253","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ARGKYNETEC","20191031","20221221","35666,00"
"1933253","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","ARGKYNETEC","20211031","20221221","35666,00"
"1933265","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","DIGITAL FERRETTI","20211231","20220712","21400,00"
"1933285","50","SOC. ANONIMA","HERENCIA TOSCANA","20181231","20191004","200000,00"
"1933290","80","SOCIEDAD EXTRANJERA","PORTING ACCESS B.V.","20181231","20210824","0,00"
"1933290","80","SOCIEDAD EXTRANJERA","PORTING ACCESS B.V.","20201231","20210824","0,00"
"1933290","80","SOCIEDAD EXTRANJERA","PORTING ACCESS B.V.","20191231","20210824","0,00"
"1933311","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CPM MATTERS SUR","20211231","20220428","100000,00"
"1933311","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CPM MATTERS SUR","20201231","20210825","100000,00"
"1933311","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","CPM MATTERS SUR","20181231","20190911","100000,00"
"1933337","50","SOC. ANONIMA","SCATEC EQUINOR SOLUTIONS ARGENTINA","20201231","20220509","100,00"
"1933337","50","SOC. ANONIMA","SCATEC EQUINOR SOLUTIONS ARGENTINA","20191231","20220509","100,00"
"1933337","50","SOC. ANONIMA","SCATEC EQUINOR SOLUTIONS ARGENTINA","20181231","20220509","100000,00"
"1933357","50","SOC. ANONIMA","COMPAÑIA EXPORTADORA DE ALIMENTOS","20201231","20220113","100000,00"
"1933357","50","SOC. ANONIMA","COMPAÑIA EXPORTADORA DE ALIMENTOS","20191231","20210113","100000,00"
"1933357","50","SOC. ANONIMA","COMPAÑIA EXPORTADORA DE ALIMENTOS","20181231","20200130","100000,00"
"1933407","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CISUR INGENIERIA","20201231","20230202","22600,00"
"1933407","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CISUR INGENIERIA","20211231","20220712","100000,00"
"1933413","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","TRIVU","20210630","20230130","21400,00"
"1933413","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","TRIVU","20200630","20230130","21400,00"
"1933475","80","SOCIEDAD EXTRANJERA","MONCOBRA S.A.","20191231","20221205","0,00"
"1933475","80","SOCIEDAD EXTRANJERA","MONCOBRA S.A.","20181231","20221205","0,00"
"1933475","80","SOCIEDAD EXTRANJERA","MONCOBRA S.A.","20211231","20220920","0,00"
"1933475","80","SOCIEDAD EXTRANJERA","MONCOBRA S.A.","20201231","20220920","0,00"
"1933483","100","ASOCIACION CIVIL","FEDERACION METROPOLIT DE PESAS (FE.ME.PE.) ASOCIACION CIVIL","20210731","20220929","0,00"
"1933483","100","ASOCIACION CIVIL","FEDERACION METROPOLIT DE PESAS (FE.ME.PE.) ASOCIACION CIVIL","20210731","20220110","0,00"
"1933483","100","ASOCIACION CIVIL","FEDERACION METROPOLIT DE PESAS (FE.ME.PE.) ASOCIACION CIVIL","20190731","20210505","0,00"
"1933483","100","ASOCIACION CIVIL","FEDERACION METROPOLIT DE PESAS (FE.ME.PE.) ASOCIACION CIVIL","20200731","20210505","0,00"
"1933594","50","SOC. ANONIMA","COBEC","20210831","20230113","20000,00"
"1933594","50","SOC. ANONIMA","COBEC","20200831","20211014","20000,00"
"1933594","50","SOC. ANONIMA","COBEC","20190831","20211014","20000,00"
"1933603","50","SOC. ANONIMA","CENTRO DE IMAGENES RD","20201231","20210928","2000000,00"
"1933603","50","SOC. ANONIMA","CENTRO DE IMAGENES RD","20181231","20210405","2000000,00"
"1933603","50","SOC. ANONIMA","CENTRO DE IMAGENES RD","20191231","20210405","2000000,00"
"1933669","50","SOC. ANONIMA","MANAGEMENT & FIT","20210630","20221006","100000,00"
"1933669","50","SOC. ANONIMA","MANAGEMENT & FIT","20200630","20221006","100000,00"
"1933669","50","SOC. ANONIMA","MANAGEMENT & FIT","20190630","20221003","100000,00"
"1933685","100","ASOCIACION CIVIL","RUNA ASOCIACION CIVIL","20191231","20211021","0,00"
"1933688","110","FUNDACION","LISTOS YA","20220731","20221130","0,00"
"1933688","110","FUNDACION","LISTOS YA","20210731","20220331","0,00"
"1933688","110","FUNDACION","LISTOS YA","20200731","20210929","0,00"
"1933713","50","SOC. ANONIMA","LE GRAIN","20181231","20210907","100000,00"
"1933713","50","SOC. ANONIMA","LE GRAIN","20191231","20210825","100000,00"
"1933713","50","SOC. ANONIMA","LE GRAIN","20201231","20210825","100000,00"
"1933721","50","SOC. ANONIMA","PHARMACORE","20190930","20210128","100000,00"
"1933802","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","SINLAR SALUD","20210630","20220429","21400,00"
"1933824","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BSASPROD","20211031","20221110","200000,00"
"1933881","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","JCBA","20211231","20221026","100000,00"
"1933881","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","JCBA","20201231","20221020","100000000,00"
"1933881","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","JCBA","20191231","20221020","100000,00"
"1933881","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","JCBA","20181231","20221020","100000,00"
"1933946","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CALIDAD Y DESARROLLO","20200630","20220713","30000,00"
"1933946","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","CALIDAD Y DESARROLLO","20200630","20211109","30000,00"
"1933985","50","SOC. ANONIMA","COLBOER","20190930","20200228","100000,00"
"1933995","100","ASOCIACION CIVIL","BOMBEROS VOLUNTARIOS NUEVA POMPEYA Y BARRACAS SUR","20211231","20220629","0,00"
"1933995","100","ASOCIACION CIVIL","BOMBEROS VOLUNTARIOS NUEVA POMPEYA Y BARRACAS SUR","20201231","20210908","0,00"
"1933995","100","ASOCIACION CIVIL","BOMBEROS VOLUNTARIOS NUEVA POMPEYA Y BARRACAS SUR","20191231","20210504","0,00"
"1933999","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","LEONE ANGEL","20201031","20230102","21400,00"
"1934017","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","MASCARDI PLASTICOS","20211031","20220718","30000000,00"
"1934017","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","MASCARDI PLASTICOS","20201031","20210827","30000000,00"
"1934017","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","MASCARDI PLASTICOS","20191231","20201210","38191557,59"
"1934049","50","SOC. ANONIMA","RAPIFAST","20211231","20221129","100000,00"
"1934049","50","SOC. ANONIMA","RAPIFAST","20201231","20221129","100000,00"
"1934049","50","SOC. ANONIMA","RAPIFAST","20191231","20210809","100000,00"
"1934049","50","SOC. ANONIMA","RAPIFAST","20181231","20191018","100000,00"
"1934204","50","SOC. ANONIMA","INTEGRAL CARE","20190331","20191213","100000,00"
"1934245","50","SOC. ANONIMA","AIRBUS ARGENTINA","20201231","20210929","17784214,00"
"1934245","50","SOC. ANONIMA","AIRBUS ARGENTINA","20191231","20201104","17784214,00"
"1934245","50","SOC. ANONIMA","AIRBUS ARGENTINA","20181231","20190919","100000,00"
"1934294","50","SOC. ANONIMA","LOCAMI","20211031","20220407","800000,00"
"1934294","50","SOC. ANONIMA","LOCAMI","20191031","20210722","800000,00"
"1934294","50","SOC. ANONIMA","LOCAMI","20201031","20210719","800000,00"
"1934324","80","SOCIEDAD EXTRANJERA","GSJ SOLUTIONS,S.L. SUCURSAL ARGENTINA","20201231","20211129","0,00"
"1934324","80","SOCIEDAD EXTRANJERA","GSJ SOLUTIONS,S.L. SUCURSAL ARGENTINA","20181231","20210405","0,00"
"1934324","80","SOCIEDAD EXTRANJERA","GSJ SOLUTIONS,S.L. SUCURSAL ARGENTINA","20191231","20210323","0,00"
"1934329","50","SOC. ANONIMA","IQ 156 INMOBILIARIOS","20211231","20220628","100000,00"
"1934329","50","SOC. ANONIMA","IQ 156 INMOBILIARIOS","20201231","20210611","100000,00"
"1934329","50","SOC. ANONIMA","IQ 156 INMOBILIARIOS","20191231","20200831","100000,00"
"1934347","50","SOC. ANONIMA","SUMAR INVERSION","20211031","20220429","100000,00"
"1934347","50","SOC. ANONIMA","SUMAR INVERSION","20201031","20210706","100000,00"
"1934347","50","SOC. ANONIMA","SUMAR INVERSION","20191031","20201218","100000,00"
"1934370","50","SOC. ANONIMA","SMILES VIAJES Y TURISMO","20181231","20190809","100000,00"
"1934384","50","SOC. ANONIMA","MALUPA","20190531","20220428","100000,00"
"1934384","50","SOC. ANONIMA","MALUPA","20210531","20220428","100000,00"
"1934384","50","SOC. ANONIMA","MALUPA","20200531","20220407","100000,00"
"1934432","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","DESARROLLOS LAFE","20200630","20210823","21400,00"
"1934432","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","DESARROLLOS LAFE","20210630","20210823","21400,00"
"1934460","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BRIDGELANE ARGENTINA","20200630","20220916","21400,00"
"1934460","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","BRIDGELANE ARGENTINA","20210630","20220916","21400,00"
"1934463","50","SOC. ANONIMA","LH GLOBAL","20201031","20230126","400000,00"
"1934463","50","SOC. ANONIMA","LH GLOBAL","20211031","20230126","400000,00"
"1934463","50","SOC. ANONIMA","LH GLOBAL","20191031","20230126","400000,00"
"1934467","50","SOC. ANONIMA","INTERDESA","20220331","20221013","5000000,00"
"1934467","50","SOC. ANONIMA","INTERDESA","20210331","20210916","5000000,00"
"1934467","50","SOC. ANONIMA","INTERDESA","20200331","20201221","5000000,00"
"1934467","50","SOC. ANONIMA","INTERDESA","20190331","20190903","5000000,00"
"1934475","50","SOC. ANONIMA","BYMA INVERSORA","20211231","20220322","100000,00"
"1934475","50","SOC. ANONIMA","BYMA INVERSORA","20201231","20210318","100000,00"
"1934475","50","SOC. ANONIMA","BYMA INVERSORA","20191231","20201218","100000,00"
"1934475","50","SOC. ANONIMA","BYMA INVERSORA","20181231","20190315","100000,00"
"1934490","140","CAMARA","ARGENTINO PORTUGUESA DE COMERCIO ASOCIACION CIVIL","20200630","20211019","0,00"
"1934490","140","CAMARA","ARGENTINO PORTUGUESA DE COMERCIO ASOCIACION CIVIL","20210930","20220207","0,00"
"1934490","140","CAMARA","ARGENTINO PORTUGUESA DE COMERCIO ASOCIACION CIVIL","20190930","20200306","0,00"
"1934499","100","ASOCIACION CIVIL","ASOC DE ALIMENTOS Y COCINAS REGIONALES DE LAS AMERICAS-AS CI","20191231","20221117","0,00"
"1934499","100","ASOCIACION CIVIL","ASOC DE ALIMENTOS Y COCINAS REGIONALES DE LAS AMERICAS-AS CI","20201231","20221117","0,00"
"1934499","100","ASOCIACION CIVIL","ASOC DE ALIMENTOS Y COCINAS REGIONALES DE LAS AMERICAS-AS CI","20181231","20221114","0,00"
"1934515","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","AGROPECUARIA AYMARA","20201231","20220126","21400,00"
"1934559","50","SOC. ANONIMA","CONSULTORA MILO","20190430","20200303","100000,00"
"1934595","170","UNION TRANSITORIA","KAPSCH TRAFFICCOM TRANSPORTAT ARGENTIN S.A.-ROWING S.A.-U.T.","20220331","20230210","0,00"
"1934595","170","UNION TRANSITORIA","KAPSCH TRAFFICCOM TRANSPORTAT ARGENTIN S.A.-ROWING S.A.-U.T.","20210331","20220526","0,00"
"1934595","170","UNION TRANSITORIA","KAPSCH TRAFFICCOM TRANSPORTAT ARGENTIN S.A.-ROWING S.A.-U.T.","20200331","20201120","0,00"
"1934595","170","UNION TRANSITORIA","KAPSCH TRAFFICCOM TRANSPORTAT ARGENTIN S.A.-ROWING S.A.-U.T.","20190331","20200422","0,00"
"1934616","50","SOC. ANONIMA","LEGAL CHECK","20211231","20221013","463640,00"
"1934616","50","SOC. ANONIMA","LEGAL CHECK","20201231","20211229","463640,00"
"1934616","50","SOC. ANONIMA","LEGAL CHECK","20191231","20210729","161908,00"
"1934616","50","SOC. ANONIMA","LEGAL CHECK","20181231","20200114","154297,00"
"1934620","50","SOC. ANONIMA","BOMBARDIER TRANSPORTATION RAIL ARGENTINA","20201231","20211216","100000,00"
"1934620","50","SOC. ANONIMA","BOMBARDIER TRANSPORTATION RAIL ARGENTINA","20191231","20211214","100000,00"
"1934620","50","SOC. ANONIMA","BOMBARDIER TRANSPORTATION RAIL ARGENTINA","20181231","20211214","100000,00"
"1934627","50","SOC. ANONIMA","PRINTPLOTTER GROUP","20190630","20200113","350000,00"
"1934630","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","AXIOMA ARGENTINA","20191231","20210422","100000,00"
"1934630","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","AXIOMA ARGENTINA","20190331","20200422","100000,00"
"1934653","50","SOC. ANONIMA","GREEN ARMOR CAUDALES","20211231","20221003","100000,00"
"1934653","50","SOC. ANONIMA","GREEN ARMOR CAUDALES","20201231","20220314","100000,00"
"1934653","50","SOC. ANONIMA","GREEN ARMOR CAUDALES","20191231","20220314","100000,00"
"1934653","50","SOC. ANONIMA","GREEN ARMOR CAUDALES","20181231","20220314","100000,00"
"1934672","50","SOC. ANONIMA","M2C","20211231","20220802","120000,00"
"1934672","50","SOC. ANONIMA","M2C","20201231","20210928","120000,00"
"1934672","50","SOC. ANONIMA","M2C","20191231","20210928","120000,00"
"1934672","50","SOC. ANONIMA","M2C","20181231","20190610","120000,00"
"1934717","50","SOC. ANONIMA","TINTAS FARBEN","20201231","20221215","1000000,00"
"1934719","50","SOC. ANONIMA","ASOCIACION BARRIO PIONEROS","20210630","20220901","100100,00"
"1934719","50","SOC. ANONIMA","ASOCIACION BARRIO PIONEROS","20200630","20220323","100100,00"
"1934719","50","SOC. ANONIMA","ASOCIACION BARRIO PIONEROS","20190630","20220323","100100,00"
"1934721","50","SOC. ANONIMA","VERISURE ARGENTINA MONITOREO DE ALARMAS","20211231","20220711","2683777648,00"
"1934721","50","SOC. ANONIMA","VERISURE ARGENTINA MONITOREO DE ALARMAS","20201231","20211214","1113592319,00"
"1934721","50","SOC. ANONIMA","VERISURE ARGENTINA MONITOREO DE ALARMAS","20191231","20201210","407607597,01"
"1934721","50","SOC. ANONIMA","VERISURE ARGENTINA MONITOREO DE ALARMAS","20181231","20191025","100000,00"
"1934866","80","SOCIEDAD EXTRANJERA","BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES","20211231","20220603","0,00"
"1934866","80","SOCIEDAD EXTRANJERA","BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES","20201231","20210506","0,00"
"1934866","80","SOCIEDAD EXTRANJERA","BANK OF CHINA LIMITED SUCURSAL BUENOS AIRES","20191231","20200923","0,00"
"1934878","52","SOCIEDAD POR ACCIONES SIMPLIFICADA","GR ARQUITECTURA","20211231","20230113","22600,00"
