"numero_correlativo","tipo_societario","descripcion_tipo_societario","razon_social","tipo_domicilio","descripcion_tipo_domicilio","calle","numero","localidad","provincia","codigo_postal"
"1984384","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","COINBOX MINING","L","LEGAL","TANDIL","3239","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984385","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MMC BROKERS SOCIEDAD DE PRODUCTORES ASESORES DE SEGUROS","L","LEGAL","BULNES","260","CAPITAL FEDERAL","CAPITAL FEDERAL","1176"
"1984386","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DREAM ALIVE","L","LEGAL","JURAMENTO","1694","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984387","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","IRIS FILMS","L","LEGAL","CUCHA CUCHA","1553","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984388","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CITY FIDUCIARIA","L","LEGAL","AZCUENAGA","403","CAPITAL FEDERAL","CAPITAL FEDERAL","1029"
"1984389","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LA ESQUINA DE MATADEROS","L","LEGAL","RODRIGUEZ PENA","546","CAPITAL FEDERAL","CAPITAL FEDERAL","1020"
"1984390","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LA ESQUINA DE MARTINEZ","L","LEGAL","URUGUAY","667","CAPITAL FEDERAL","CAPITAL FEDERAL","1015"
"1984391","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MERAKII","L","LEGAL","CHILAVERT MARTINIANO CNEL","6921","CAPITAL FEDERAL","CAPITAL FEDERAL","1439"
"1984392","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","METAMIND","L","LEGAL","TANDIL","3239","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984393","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ENOC LOGISTICS","L","LEGAL","MISTRAL GABRIELA","2850","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984394","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LA FIDUCIA","L","LEGAL","VIDAL","4041","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984395","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AIGSOS","L","LEGAL","RODRIGUEZ PENA","546","CAPITAL FEDERAL","CAPITAL FEDERAL","1020"
"1984396","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ALMOND EXPERIENCE COMPANY","L","LEGAL","MONTEVIDEO","571","CAPITAL FEDERAL","CAPITAL FEDERAL","1019"
"1984397","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MKTR AGENCY","L","LEGAL","CORDOBA AV.","1145","CAPITAL FEDERAL","CAPITAL FEDERAL","1055"
"1984398","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","PENLA","L","LEGAL","A.J. CARRANZA","2322","CAPITAL FEDERAL","",""
"1984399","51","SOCIEDAD ANONIMA UNIPERSONAL (SAU)","PINV","L","LEGAL","PELLEGRINI CARLOS","855","CAPITAL FEDERAL","CAPITAL FEDERAL","1009"
"1984400","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","VIKRO CONSTRUCCIONES","L","LEGAL","PUEYRREDON AV.","924","CAPITAL FEDERAL","CAPITAL FEDERAL","1032"
"1984401","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SCJ277","L","LEGAL","BONIFACIO JOSE","1628","CAPITAL FEDERAL","CAPITAL FEDERAL","1406"
"1984402","50","SOC. ANONIMA","FSJ CONSULTORA","L","LEGAL","BILLINGHURST","2307","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984403","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DESDE EUROPA","L","LEGAL","BELAUSTEGUI L.DR.","3250","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984404","50","SOC. ANONIMA","WICO CREDITOS","L","LEGAL","ORTIZ DE OCAMPO","2612","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984405","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DE LEY QUE SI HAY","L","LEGAL","PARAGUAY","880","CAPITAL FEDERAL","CAPITAL FEDERAL","1057"
"1984406","50","SOC. ANONIMA","C&C NEGOCIOS INMOBILIARIOS","L","LEGAL","FALCON RAMON L CNEL","5939","CAPITAL FEDERAL","CAPITAL FEDERAL","1408"
"1984407","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","RAUDA ENERGIA","L","LEGAL","CARLOS CALVO","954","CAPITAL FEDERAL","",""
"1984408","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MG MULTIMEDIOS GROUP","L","LEGAL","JUAN BAUTISTA ALBERDI","2817","CAPITAL FEDERAL","",""
"1984409","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","SOMPAL","L","LEGAL","RODRIGUEZ PENA","546","CAPITAL FEDERAL","CAPITAL FEDERAL","1020"
"1984410","50","SOC. ANONIMA","LITORAL ENERGY","L","LEGAL","HUMBERTO 1RO","621","CAPITAL FEDERAL","CAPITAL FEDERAL","1103"
"1984411","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","INSPAL","L","LEGAL","SARMIENTO","1574","CAPITAL FEDERAL","CAPITAL FEDERAL","1042"
"1984412","175","CONTRATO DE FIDEICOMISO","FIDEICOMISO IANA","L","LEGAL","AZCUENAGA","403","CAPITAL FEDERAL","",""
"1984414","50","SOC. ANONIMA","LP SIEMBRAS","L","LEGAL","OLAZABAL","1515","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984415","50","SOC. ANONIMA","ANALIX","L","LEGAL","ARMENIA","2436","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984416","50","SOC. ANONIMA","LATAM SERVICIOS INDUSTRIALES","L","LEGAL","PELLEGRINI CARLOS","1265","CAPITAL FEDERAL","CAPITAL FEDERAL","1009"
"1984418","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LEDDECO","L","LEGAL","QUESADA","1635","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984420","50","SOC. ANONIMA","SUR CONSULTING","L","LEGAL","HUMBERTO 1RO","621","CAPITAL FEDERAL","CAPITAL FEDERAL","1103"
"1984422","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ILUMUNDO","L","LEGAL","SANCHEZ","2230","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984424","50","SOC. ANONIMA","ESTUDIO MACARY","L","LEGAL","CORDOBA AV.","5740","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984425","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CONSTRUCTORA M&L","L","LEGAL","AZCUENAGA","1589","CAPITAL FEDERAL","CAPITAL FEDERAL","1115"
"1984426","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ARCOS RESTO BAR","L","LEGAL","RODRIGUEZ PENA","546","CAPITAL FEDERAL","CAPITAL FEDERAL","1020"
"1984427","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ELECTROS DEL NORTE","L","LEGAL","BLANCO ENCALADA","2387","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984428","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ITC FORWARDING","L","LEGAL","LIBERTADOR DEL AV.","7820","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984429","50","SOC. ANONIMA","OSTRAS FELICES","L","LEGAL","BULNES","1973","CAPITAL FEDERAL","CAPITAL FEDERAL","1425"
"1984430","50","SOC. ANONIMA","LPGL PET","L","LEGAL","HUMBERTO 1RO","621","CAPITAL FEDERAL","CAPITAL FEDERAL","1103"
"1984431","50","SOC. ANONIMA","PRADECON STEEL","L","LEGAL","RIVADAVIA AV.","789","CAPITAL FEDERAL","CAPITAL FEDERAL","1002"
"1984432","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LA ESQUINA DE SAN MARTIN","L","LEGAL","SARMIENTO","1574","CAPITAL FEDERAL","CAPITAL FEDERAL","1042"
"1984433","50","SOC. ANONIMA","STC CONSTRUCCIONES SAYFI","L","LEGAL","CORRIENTES AV.","1386","CAPITAL FEDERAL","CAPITAL FEDERAL","1043"
"1984434","50","SOC. ANONIMA","SIEM REAP","L","LEGAL","LOPE DE VEGA AV.","3390","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984435","50","SOC. ANONIMA","FIDUVA","L","LEGAL","SUNCHALES","738","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984436","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","LAION STUDIO","L","LEGAL","PARERA","62","CAPITAL FEDERAL","CAPITAL FEDERAL","1014"
"1984437","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","EXCHAIN GROUP","L","LEGAL","TALCAHUANO","452","CAPITAL FEDERAL","CAPITAL FEDERAL","1013"
"1984441","50","SOC. ANONIMA","GOPANT","L","LEGAL","LAVALLE","1783","CAPITAL FEDERAL","CAPITAL FEDERAL","1048"
"1984442","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TOUR DEL ESTE","L","LEGAL","VIAMONTE","824","CAPITAL FEDERAL","CAPITAL FEDERAL","1053"
"1984443","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GEA E-VOLUCION","L","LEGAL","RONDEAU","2548","CAPITAL FEDERAL","CAPITAL FEDERAL","1262"
"1984445","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","CLOS DU SOMM","L","LEGAL","UGARTE MANUEL","2548","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984446","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","HENRYS MEXARG","L","LEGAL","EMILIO CASTRO","7606","CAPITAL FEDERAL","",""
"1984447","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MEET AND FUN PUBLISHING","L","LEGAL","CAZADORES","1976","CAPITAL FEDERAL","",""
"1984448","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","VER EDICIONES","L","LEGAL","AV. SANTA FE","1460","CAPITAL FEDERAL","",""
"1984449","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","COLARPEZ","L","LEGAL","ALICIA MOREAU DE JUSTO","2050","CAPITAL FEDERAL","",""
"1984450","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","KYOMU","L","LEGAL","MUNIZ","433","CAPITAL FEDERAL","CAPITAL FEDERAL","1234"
"1984451","50","SOC. ANONIMA","CIRCULAR ID","L","LEGAL","BORGES JORGE LUIS","1797","CAPITAL FEDERAL","CAPITAL FEDERAL","1414"
"1984452","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ESTANCIA SANTA CATALINA AZUL","L","LEGAL","DEL PINO VIRREY","2081","CAPITAL FEDERAL","CAPITAL FEDERAL","1426"
"1984453","50","SOC. ANONIMA","LOBO PLATEADO","L","LEGAL","PIERINA DEALESSI","1330","CAPITAL FEDERAL","CAPITAL FEDERAL","1107"
"1984454","50","SOC. ANONIMA","AQUAYAR","L","LEGAL","BURELA","3263","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984456","50","SOC. ANONIMA","DIGITAL CONSULTANT","L","LEGAL","PEDRAZA MANUELA","6133","CAPITAL FEDERAL","CAPITAL FEDERAL","1431"
"1984457","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","AXT","L","LEGAL","PARANA","774","CAPITAL FEDERAL","CAPITAL FEDERAL","1017"
"1984458","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","TECH INK ASC","L","LEGAL","PINTO","4679","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984459","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GMF METALURGICA MARTINEZ","L","LEGAL","AZURDUY JUANA","2540","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984460","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","MADREHIJA","L","LEGAL","ARTILLEROS","1830","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984461","50","SOC. ANONIMA","GEKA DS","L","LEGAL","UDAONDO GUILLERMO AV.","1288","CAPITAL FEDERAL","CAPITAL FEDERAL","1428"
"1984463","50","SOC. ANONIMA","JETTAG","L","LEGAL","BONIFACIO JOSE","171","CAPITAL FEDERAL","CAPITAL FEDERAL","1424"
"1984464","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","VALBAVA","L","LEGAL","ESMERALDA","933","CAPITAL FEDERAL","",""
"1984465","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","DESIGN CO","L","LEGAL","CAMARONES","1940","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
"1984468","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","ESTILO PH","L","LEGAL","CALLAO AV.","449","CAPITAL FEDERAL","CAPITAL FEDERAL","1022"
"1984469","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","GENDIS","L","LEGAL","SAN NICOLAS","3944","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984471","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","D3 CONSULTORES","L","LEGAL","MONTANESES","3030","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984472","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","OFAM","L","LEGAL","CABILDO AV.","4621","CAPITAL FEDERAL","CAPITAL FEDERAL","1429"
"1984473","50","SOC. ANONIMA","CARRESAL","L","LEGAL","ESMERALDA","920","CAPITAL FEDERAL","CAPITAL FEDERAL","1007"
"1984474","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","COT OSCAR TRIGO E HIJOS","L","LEGAL","NAVARRO","3829","CAPITAL FEDERAL","CAPITAL FEDERAL","1419"
"1984475","40","SOCIEDAD DE RESPONSABILIDAD LIMITADA","YCALU","L","LEGAL","PERON, JUAN TTE.GRAL.","1648","CAPITAL FEDERAL","CAPITAL FEDERAL","1037"
"1984476","50","SOC. ANONIMA","LOTUS ICT","L","LEGAL","SEGUI F J ALMTE.","2443","CAPITAL FEDERAL","CAPITAL FEDERAL","1416"
